,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,netflix_title
3970,False,/2aHF480ya0CVkgq6D6pBHYw8dO7.jpg,"[53, 27]",429727,en,Bad Match,An internet-dating playboy's life spirals out of control after meeting a woman online.,6.461,/eh7CB7Z9o2HRcKTEYmSLmo6I2hh.jpg,2017-08-25,Bad Match,False,5.559,177,Bad Match
3971,False,,"[10402, 99]",390322,en,Bad Rap,"The lives and careers of four Asian-American rappers trying to break into a world that often treats them as outsiders. Sharing dynamic live performance footage and revealing interviews, these artists will make the most skeptical critics into believers.",1.402,/peVDrIWV3XgUnVnKvTmst3yEbpc.jpg,2016-04-16,Bad Rap,False,5.8,6,Bad Rap
3972,False,,[],500274,mr,Badha,A young girl is forced to live apart from her family because of suspicions that she is a witch.,1.263,/xiARUMSXXAzt1PknjqKoZc0SQP2.jpg,2006-01-05,Badha,False,7.0,2,Badha
3973,False,/qoqbfyJritu6LOhkwgB0DTGBuZI.jpg,[37],634524,en,Badland,"Detective Matthias Breecher, hired to track down the worst of the Confederate war criminals, roams the Old West seeking justice. His resolve is tested when he meets a determined pioneer woman who is far more than she seems.",7.977,/217ddlMrnXll436baw7y5ERmz3x.jpg,2019-11-01,Badland,False,6.387,102,Badland
3974,False,/hljMglukfpnfaNmUgMuORmL4OVW.jpg,"[10751, 16, 12]",21032,en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",15.373,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,1995-12-22,Balto,False,7.303,1840,Balto
3975,False,/c9yWoqYOB0dA10CpsdEr5i9vK3R.jpg,"[10751, 16, 12]",25913,en,Balto II: Wolf Quest,Balto and his daughter Aleu embark on a journey of adventure and self discovery.,16.021,/dZ958HnW3JO2pEZeedjmoZCV8Rn.jpg,2002-02-19,Balto II: Wolf Quest,False,6.273,476,Balto 2: Wolf Quest
3976,False,/4rFvJSvzX9dSOYeGzl59Udzdym9.jpg,"[10751, 12, 16]",34942,en,Balto III: Wings of Change,"Balto and the other sled dogs are feeling dejected because the mail that used to be delivered by dogsled is now being delivered by airplanes. But when a mail plane crashes in the mountains, the dogs come to the rescue.",8.35,/3tKVHAMFTajrSLfU6gUgdubiXBG.jpg,2004-04-14,Balto III: Wings of Change,False,6.712,299,Balto 3: Wings of Change
3977,False,/7Ml27h9e0rmcUZ8qelW0KVEoebz.jpg,"[10749, 18, 35, 12]",438783,ur,Balu Mahi,"When a young man crashes the wrong wedding, the bride seizes the opportunity to make a run for it and together they attempt to evade her overbearing grandfather.",1.111,/yCITspGr51xKmEgeV6MjIV8DZXQ.jpg,2017-02-10,Balu Mahi,False,7.0,5,Balu Mahi
3978,False,/fA2A8AwUhSeWlwitrqcHLMHLN6W.jpg,"[35, 18]",332534,tr,Bana Masal Anlatma,The story of a minibus driver and a fairytale princesss nestling under the wing of timeless friendship in an ordinary neighborhood.,3.89,/55vTnlHeKDhmtFdCY04DFtqj9TY.jpg,2015-01-09,Bana Masal Anlatma,False,6.7,75,Bana Masal Anlatma
3979,False,/gzyVkRCOsCADTahf4aRgWHv7N0P.jpg,"[35, 18, 10402]",426230,en,Band Aid,A couple who can't stop fighting embark on a last-ditch effort to save their marriage: turning their fights into songs and starting a band.,7.44,/hDYKhDkmvvPnYESr1yNG3K5oMZT.jpg,2017-06-02,Band Aid,False,6.4,132,Band Aid
3980,False,/9VRVde3Kn0fivTDp9wdoWtGPgp3.jpg,"[12, 35, 80, 53]",333675,en,Band of Robbers,"A comedic thriller that re-imagines Mark Twain's iconic literary characters of ""Huckleberry Finn"" and ""Tom Sawyer"" as grown men in current day.",6.083,/3gI49YGN95dfipPoofOdQlEkqqr.jpg,2016-01-15,Band of Robbers,False,6.029,104,Band of Robbers
3981,False,/zfxHYJ7nAzkYw0HrtNkyUPSIjlF.jpg,"[28, 18, 36, 10752]",48705,th,บางระจัน 2,"After Bang Rajan village’s warriors bravely battled to massive Burmese army was at the end with a defeat, but  their patriotism inspired to other villagers left getting up to fight with the great invader. On the way of the Burmese troops waltzing to seize the capital, a few brave villagers reunited a tiny guerrilla and called themselves as The Talisman paladins to ambush the enemies. Finally the tiny underdog troop became to the major obstruction when the Burmese army have lost many soldiers in battle.",2.336,/csFpGsGSm9YpIrTBLZfy9kUlpDO.jpg,2010-03-25,Bang Rajan 2,False,5.9,7,Bang Rajan 2
3982,False,,"[80, 18]",72283,th,น.ช. นักโทษชาย,"Ray's life is turned upside down when he is jailed for the accidental vehicular homicide. Life behind bars is bitter and violent. Over crowding, male rape, and drug abuse are the order of the day. The warden offers him a way out from this daily torment by working for him. He does his job well but he soon begins to realize that many of those incarcerated are innocent or victims of bad circumstances - but what can he do to help and how much danger is he placing himself in?",1.138,/2MseJBoXwZ6mc2SnAJGnACvDnKy.jpg,2002-02-28,Bangkok Hell: Nor Chor - The Prisoners,False,5.8,4,Bangkok Hell
3983,False,/cWmmxqnsHctCqpltYMTxbME8EpD.jpg,"[35, 10749]",72733,th,รถไฟฟ้า มาหานะเธอ,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",3.285,/3EUo3JyLrBMk6v3oJyHvg1UsRXR.jpg,2009-10-15,Bangkok Traffic Love Story,False,7.4,24,Bangkok Traffic (Love) Story
3984,False,/e7iRtcihSJ7Wc4AoDchEDB75sk.jpg,[99],362256,es,Barça Dreams,Fascinating chronicle of the ascendancy of FC Barcelona - possibly the top team in the world and powerful emblem of Catalan identity - 'Barca: More than a Club'. Director Jordi Llompart charts the team's inexorable rise from its origins with founder Joan Gamper more than 100 years ago to a Champion's League-winning side that boasts striker Lionel Messi and prestigious coach Pep Guardiola.,3.079,/wN8L1Sp9omTVd5aNcxNkQ857eqp.jpg,2015-09-03,Barça Dreams,False,7.2,33,Barça Dreams
3985,False,/v2MLX1Kr3PpNQC3Fss85OugK0er.jpg,"[35, 18]",21224,hi,Barah Aana,"Barah Aana is a comedy of real life set in today's Mumbai. The story revolves around three unlikely friends: a driver (Naseeruddin Shah), a watchman (Vijay Raaz) and a waiter (Arjun Mathur). The driver is an older man, stoic but dependable. The watchman, in his 30's, is a pushover at work but otherwise mischievous. The waiter is a young, swaggering chap, brimming with ambition. Living together, their different attitudes make for an interesting banter.At some point, misfortune befalls the watchman, and due to a series of chance events, he stumbles into a crime. Striking upon a seemingly low-risk way to make good money, and discovering a new sense of self-confidence, he tries to entice the others to join him in a series of such crimes. Cat and mouse games ensue between the three as personalities change, but events soon spiral out of control, leading them in a direction that none of them had ever wanted to take...",2.147,/pUtLT7wxkkxOXB14BIwvnsGMCPf.jpg,2009-03-13,Barah Aana,False,5.2,4,Barah Aana
3986,False,/7wjz7Q3hKIng3Ni37RQXYjzyu1i.jpg,[35],250349,fr,Barbecue,"On his 50th birthday, a man who's been watching his weight, health and temper all his life suffers a heart attack. He's been doing everything he was told he should do and it still didn't help. He decides to turn the page and let loose.",5.895,/f6qSHIFvo2NhvlbAi8WBehd4Xne.jpg,2014-04-30,Barbecue,False,5.824,638,Barbecue
3987,False,/QAL6ZI2mLEXiIUGhGYd1fYuj9Q.jpg,"[16, 10751]",16418,en,Barbie Presents: Thumbelina,"Meet a tiny girl named Thumbelina who lives in harmony with nature in the magical world of the Twillerbees that's hidden among the wildflowers. At the whim of a spoiled young girl named Makena, Thumbelina and her two friends have their patch of wildflowers uprooted and are transported to a lavish apartment in the city.",18.817,/ytKd2jWnzWLCiccutqqMNzcP5RE.jpg,2009-02-24,Barbie Presents: Thumbelina,False,6.603,411,Barbie & Her Sisters in a Pony Tale
3988,False,/csSEukCACMBPgqDgujDBHG4bfpj.jpg,"[16, 10751, 14]",34134,en,Barbie in A Mermaid Tale,"Barbie stars as Merliah, a surfer who learns a shocking secret: she's a mermaid! She and her dolphin friend set out for an undersea adventure to rescue her mother, the queen of Oceana.",34.754,/jtOlo3AaXVBnqfMeKGFrZUMPFui.jpg,2010-01-25,Barbie in A Mermaid Tale,False,7.225,653,Barbie in A Mermaid Tale
3989,False,/j1DzfqxQxv240taJlTlQEYZLKdI.jpg,[16],316322,en,Barbie in Princess Power,"Barbie is Kara - a modern-day princess with a normal life. Kissed by a butterfly which gives her superpowers and allows her to become a Super Sparkle, she is ready to save the kingdom from evil - were it not for her jealous cousin who is also kissed by the butterfly and becomes her rival and nemesis. Watch as Super Sparkle and Dark Sparkle learn that together they can become a great team for good once they learn the power of friendship.",10.15,/nCviAdChxibrKRZfvG7MZ2wsqdR.jpg,2015-01-29,Barbie in Princess Power,False,6.184,187,Barbie in Princess Power
3990,False,/4nOShZSE5V5MWZgZs4NjDcDHiSo.jpg,"[16, 10402, 10751]",355111,en,Barbie in Rock 'N Royals,"When royal Princess Courtney trades places with famous rock star Erika, two worlds collide while both learn to appreciate new friends and experiences.",16.1,/aCKWWQpEijagMEfIOz0vW0aTDmv.jpg,2015-08-12,Barbie in Rock 'N Royals,False,6.873,259,Barbie in Rock 'N Royals
3991,False,/eTtPBMxOS1XLnjyFSaJBJ0vtV9x.jpg,"[16, 10751, 878]",415749,en,Barbie: Star Light Adventure,"Barbie is a cosmic princess who flies high on her hoverboard through a far-off universe with her adorable and devoted pet sidekick, Pupcorn. One day, everything changes when the twinkling stars start to dim and slow their dance in the sky. Barbie travels to a beautiful new planet to join a special rescue team on a mission to save the stars. Once there, she teams up with a group of talented new friends who work together to save the galaxy through exciting hoverboarding adventures. Barbie soon discovers that if she listens to her heart, and with the help of her friends, she might be the leader the whole universe has been waiting for!",12.467,/9Yq33EXs9YpgrwGXJlJL73OTpt1.jpg,2016-08-12,Barbie: Star Light Adventure,False,7.003,149,Barbie Star Light Adventure
3992,False,/4yN3l7ZQgGDZOewvoiWKcLt7EVb.jpg,"[16, 10751, 14]",57737,en,Barbie: A Fairy Secret,"Get ready for Barbie: A Fairy Secret, an amazing adventure with Barbie where she discovers there are fairies living secretly all around us! When Ken is suddenly whisked away by a group of fairies, Barbie's two fashion stylist friends reveal they are actually fairies and that Ken has been taken to a magical secret fairy world not far away! Barbie and her rival Raquelle take off with the fairy friends on an action-packed journey to bring him back. Along the way they must stick together and learn that the real magic lies not just in the fairy world itself, but in the power of friendship.",25.201,/wn2aoYKOonwMNKkzfgO5y4ji8pB.jpg,2011-03-01,Barbie: A Fairy Secret,False,6.73,430,Barbie: A Fairy Secret
3993,False,/pR51tWHlUWUEnPUc5my9anqcDto.jpg,"[10751, 16, 14]",73456,en,Barbie: Princess Charm School,"Barbie stars as Blair Willows, a kind-hearted girl who is chosen to attend Princess Charm School: a magical, modern place that teaches dancing, how to have tea parties, and proper princess manners. Blair loves her classes -- as well as the helpful magical sprites and her new friends, Princesses Hadley and Isla. But when royal teacher Dame Devin discovers that Blair looks a lot like the kingdom’s missing princess, she turns Blair’s world upside down to stop her from claiming the throne. Now Blair, Hadley and Delancy must find an enchanted crown to prove Blair’s true identity in this charming and magical princess story!",44.324,/lI2jPbssax6XX5vDqB9mTJHGzfH.jpg,2011-08-11,Barbie: Princess Charm School,False,7.425,686,Barbie: Princess Charm School
3994,False,/bTU64xL4uToTjQZwICPZzMb4yZt.jpg,"[28, 16, 10751]",377897,en,Barbie: Spy Squad,"Barbie and her best friends Teresa and Renee transform from hard-working gymnasts to undercover secret agents. When their amazing gymnastics skills catch the eye of a top-secret spy agency, the girls are soon following clues to a gem-stealing cat burglar, using high-tech gadgets, glam disguises and cute robo-pets to save the day.",16.897,/uxdvJHE5V844dTlK2EmqRQCTYDb.jpg,2016-01-15,Barbie: Spy Squad,False,6.901,340,Barbie: Spy Squad
